subject,trial,window_a,window_b,delta_stability,delta_similarity,delta_entropy,delta_missing_rate,delta_mean_abs_corr,delta_effective_rank
1,6,800,1000,-7.076547977786368e-06,-0.017089598215375423,-0.004377930190735846,0.0,0.008535937831901264,0.6241818326086355
1,6,1000,1200,2.0428247090958657e-05,0.04797525092557958,-0.020118886906210776,0.0,0.0031670610636031493,-0.3295095581059009
1,7,200,400,0.04670583217830412,0.14073056547485316,0.08974190806151494,0.0,0.026870499434212852,-0.8695748508882115
1,7,400,600,0.02630977767701928,0.004043854098501387,0.016767202875183518,0.0,0.012395690726965558,-0.2913582144366824
1,7,600,800,0.032231580209598265,0.0944801585035826,0.04599951211002251,0.0,0.006065253715765523,-0.5261012176550413
1,7,800,1000,0.016140488289777766,-0.04837948448734697,-0.015977048938577543,0.0,0.01787283857667657,-0.40044698825077596
1,7,1000,1200,0.03343235617639326,0.02424373699305382,0.019068627276742856,0.0,0.005672457315175905,0.06833689891485406
1,8,200,400,4.766232081517452e-05,0.11373335276441093,0.05082105951095661,0.0,0.02160173393709397,-0.5109727402071806
1,8,400,600,4.8964738789188545e-06,0.02035776886574353,-0.011508926996957491,0.0,0.014231628122690881,-0.40535582788296054
1,8,600,800,1.1549865848881112e-05,0.10868443638787706,0.017704710907651577,0.0,0.012199933057885914,-0.2356845719049545
1,8,800,1000,1.1535000741396545e-05,-0.036690477728264836,-0.07175639453642013,0.0,0.005221070627368735,-0.18673223551197182
1,8,1000,1200,2.2701191161593037e-05,0.019014638837004716,0.05468588736309066,0.0,0.02041190612796165,0.23900583115839602
1,9,200,400,0.002928189884905983,0.13602478266574125,0.08582233566478115,0.0,0.03495457429488774,-2.4763822605274832
1,9,400,600,0.005598896874375484,0.026775339466900916,0.035852151331456916,0.0,0.027072265299627224,0.6228309492450066
1,9,600,800,0.017654276429853198,0.12822974298711842,-0.05851495415134789,0.0,0.020155679634562162,0.9626994722366105
1,9,800,1000,0.004181195520205232,0.00502394045371557,0.048785063828534536,0.0,0.01633010701075649,0.560219828077293
1,9,1000,1200,-0.007252088544140396,0.02716666138224666,0.062438310311644596,0.0,0.06167205095340783,-1.5495923779086649
1,10,200,400,0.0009543121965349298,0.07338890282244864,0.07665008221534508,0.0,0.034342884108842925,0.44027096633422635
1,10,400,600,0.0024840132176794363,0.021159457363442158,-0.019046242285950754,0.0,0.013989722217359585,0.77598163848758
1,10,600,800,0.0020566075365668944,0.15087233040768933,0.03986391928536648,0.0,0.03582312847697089,0.323415743999933
1,10,800,1000,-0.0015757661419775549,-0.04770389998762187,-0.03228087969831028,0.0,0.0482597142626513,-0.67715089780978
1,10,1000,1200,0.0002951779768365888,0.04740653956304047,0.0013673078022935492,0.0,0.025758537317586594,0.05686039162765999
1,11,200,400,0.001835259576417076,0.0754939998340029,0.01080537307286944,0.0,0.030148340610179042,-0.9494769724825005
1,11,400,600,0.0003928505922610303,0.0155772234521383,-0.05761666432102652,0.0,0.014492057842350525,-0.6431176823193994
1,11,600,800,0.0010931211644853635,0.11033649155499681,0.038843394157692224,0.0,0.023002501616712967,-0.39985737983590397
1,11,800,1000,0.0002988104578442903,-0.02780908740212662,0.022331473508490074,0.0,0.0009783708702164606,-0.36975622824944043
